,INSTNM,INSTURL,instabbr,subr_from_name,subr_from_abbr,compd,match_only,subr_match
43,Samford University,www.samford.edu/, samford  ,r/samfordstepsing,r/samfordstepsing,r/samfordstepsing,True,True
59,Alaska Pacific University,www.alaskapacific.edu/, alaskapacific  ,r/AlaskaPacific,r/AlaskaPacific,r/AlaskaPacific,True,True
70,Arizona State University Campus Immersion,www.asu.edu/, asu  ,r/ASU,r/ASU,r/ASU,True,True
97,Rio Salado College,www.rio.maricopa.edu/, rio.maricopa  ,r/MCCCD,r/MCCCD,r/MCCCD,True,True
168,Allan Hancock College,www.hancockcollege.edu/, hancockcollege  ,r/Hancock,r/Hancock,r/Hancock,True,True
180,Azusa Pacific University,www.apu.edu/, apu  ,r/apu,r/apu,r/apu,True,True
181,Bakersfield College,www.bakersfieldcollege.edu/, bakersfieldcollege  ,r/BakersfieldCollege,r/BakersfieldCollege,r/BakersfieldCollege,True,True
185,Biola University,https://www.biola.edu/,  biola  ,r/Biola,r/Biola,r/Biola,True,True
196,California Polytechnic State University-San Luis Obispo,calpoly.edu/,calpoly  ,r/CalPoly,r/CalPoly,r/CalPoly,True,True
210,California State University-Sacramento,https://www.csus.edu/,  csus  ,r/CSUS,r/CSUS,r/CSUS,True,True
219,University of California-Santa Cruz,www.ucsc.edu/, ucsc  ,r/UCSC,r/UCSC,r/UCSC,True,True
240,Chabot College,www.chabotcollege.edu/, chabotcollege  ,r/ChabotCollege,r/ChabotCollege,r/ChabotCollege,True,True
242,Chapman University,https://www.chapman.edu/,  chapman  ,r/chapmanuniversity,r/chapmanuniversity,r/chapmanuniversity,True,True
247,Citrus College,https://www.citruscollege.edu/,  citruscollege  ,r/CitrusCollege,r/CitrusCollege,r/CitrusCollege,True,True
267,De Anza College,www.deanza.edu/, deanza  ,r/DeAnza,r/DeAnza,r/DeAnza,True,True
270,College of the Desert,www.collegeofthedesert.edu/, collegeofthedesert  ,r/CollegeoftheDesert,r/CollegeoftheDesert,r/CollegeoftheDesert,True,True
287,Foothill College,https://foothill.edu/, foothill  ,r/foothill,r/foothill,r/foothill,True,True
301,Grossmont College,https://www.grossmont.edu/,  grossmont  ,r/grossmont,r/grossmont,r/grossmont,True,True
343,Loyola Marymount University,https://www.lmu.edu/,  lmu  ,r/LMU,r/LMU,r/LMU,True,True
353,Merced College,www.mccd.edu/, mccd  ,r/Merced,r/Merced,r/Merced,True,True
356,MiraCosta College,www.miracosta.edu/, miracosta  ,r/miracosta,r/miracosta,r/miracosta,True,True
366,Mt San Jacinto Community College District,www.msjc.edu/, msjc  ,r/MSJC,r/MSJC,r/MSJC,True,True
380,Occidental College,https://www.oxy.edu/,  oxy  ,r/Oxy,r/Oxy,r/Oxy,True,True
381,Ohlone College,www.ohlone.edu/, ohlone  ,r/OhloneCollege,r/OhloneCollege,r/OhloneCollege,True,True
396,Pepperdine University,www.pepperdine.edu/, pepperdine  ,r/Pepperdine,r/Pepperdine,r/Pepperdine,True,True
397,Pitzer College,https://www.pitzer.edu/,  pitzer  ,r/pitzer,r/pitzer,r/pitzer,True,True
421,University of San Diego,www.sandiego.edu/, sandiego  ,r/sandiego,r/sandiego,r/sandiego,True,True
424,San Francisco State University,www.sfsu.edu/, sfsu  ,r/SFSU,r/SFSU,r/SFSU,True,True
425,University of San Francisco,https://www.usfca.edu/,  usfca  ,r/usfca,r/usfca,r/usfca,True,True
436,Santa Barbara City College,www.sbcc.edu/, sbcc  ,r/SBCC,r/SBCC,r/SBCC,True,True
437,Santa Clara University,www.scu.edu/, scu  ,r/SCU,r/SCU,r/SCU,True,True
439,Santa Rosa Junior College,www.santarosa.edu/, santarosa  ,r/santarosa,r/santarosa,r/santarosa,True,True
441,Scripps College,www.scrippscollege.edu/, scrippscollege  ,r/scrippscollege,r/scrippscollege,r/scrippscollege,True,True
445,Sierra College,https://www.sierracollege.edu/,  sierracollege  ,r/SierraCollege,r/SierraCollege,r/SierraCollege,True,True
451,Skyline College,skylinecollege.edu/,skylinecollege  ,r/SkylineCollege,r/SkylineCollege,r/SkylineCollege,True,True
465,University of Southern California,www.usc.edu/, usc  ,r/USC,r/USC,r/USC,True,True
467,Taft College,www.taftcollege.edu/, taftcollege  ,r/TaftCollege,r/TaftCollege,r/TaftCollege,True,True
479,Walden University,www.waldenu.edu/, waldenu  ,r/WaldenUniversity,r/WaldenUniversity,r/WaldenUniversity,True,True
503,Colorado College,www.coloradocollege.edu/, coloradocollege  ,r/coloradocollege,r/coloradocollege,r/coloradocollege,True,True
507,Colorado School of Mines,www.mines.edu/, mines  ,r/ColoradoSchoolOfMines,r/ColoradoSchoolOfMines,r/ColoradoSchoolOfMines,True,True
510,Colorado Technical University-Colorado Springs,www.coloradotech.edu/Colorado-Springs, coloradotech  Colorado-Springs,r/ColoradoSprings,r/ColoradoSprings,r/ColoradoSprings,True,True
